Station_ID,pm,DISTANCE,COM2,COM5,GRE1,GRE4,GRE5,GRE6,INS6,IND5,RES1,RES2,RES6,URB1,URB6, RUR1,RUR2,RUR3,RUR5,FAC4,FAC6,TAXI2,TAXI4,TAXI5,TAXI6,TAXI7,EMP2,RESPOP3,p1temp,p1wind,p1hum
Dongsi,82.8,0.0614734,0.189534142,0.198925046,0,0.008215892,0.006629757,0.067421278,0.125198,0,0,0,0.104940396,0.332305599,0.603584568,0,0,0,0,3.1831E-07,4.59781E-07,0.000732113,0.019484102,0.019395258,0.021775792,0.02233103,0.025377843,0.020960211,0.203599804,0.0174963,0.566225014
Temple of Heaven,78.6,0.0708251,0.024445116,0.085421097,0.25948359,0.083407712,0.152576749,0.153767323,0.063302589,0,0,0.072517028,0.096206834,0.7405069,0.647885531,0,0,0,0,1.27324E-06,1.06103E-06,3.1831E-05,0.012039187,0.009432159,0.014256888,0.016220435,0.007828526,0.02127996,0.206544974,0.017565587,0.566225014
Guanyuan,83.99,0.1223692,0,0.057083345,0,0,0.064667384,0.108198627,0.065006853,0,0,0,0.102540951,1,0.867134564,0,0,0,0,6.3662E-07,4.24413E-07,0.000159155,0.022628296,0.0177375,0.013954705,0.020656083,0.021439266,0.023031706,0.204143632,0.017394017,0.566225014
Wanshouxigong,80.95,0.1181913,0.170900693,0.055181959,0,0.120539691,0.079879584,0.070966299,0.082293578,0,0.067429764,0.150545603,0.212847628,0.876298766,0.725107,0,0,0,0.005513338,1.27324E-06,1.34398E-06,0.001082254,0.014182474,0.019494571,0.019555828,0.019353559,0.009826451,0.024153404,0.208123875,0.017420641,0.566758347
Agriculture Exhibition Center,80.78,0.0826682,0.54689299,0.085200359,0,0.143529284,0.138933701,0.116765404,0.056879576,0,0,0,0.173579563,0.272911438,0.680188863,0,0,0.013244122,0.003127317,0,7.07355E-07,0,0.000145008,0.004257713,0.010201195,0.012703429,0.011759734,0.019888239,0.197483936,0.017366441,0.566225014
Olympic Sports Center,73.58,0.0366652,0,0.091091795,0,0.033593608,0.069759138,0.076720123,0.045756316,0,0.999474979,0.949583977,0.189047487,0.00051879,0.653862991,0,0,0,0.004537912,3.1831E-07,4.95149E-07,6.3662E-05,0.000742723,0.008101623,0.022450891,0.022546526,0.013282569,0.015990869,0.203809275,0.017538956,0.566225014
Wanliu,74.46,0.0709508,0,0.068696812,0.946556004,0.148017489,0.078467227,0.097457722,0.136021042,0,0,0.011289685,0.075298603,0.021543524,0.575872871,0,0,0,0.001435406,0,7.42723E-07,0,0.00043856,0.000437994,0.003934027,0.003375676,0.011396134,0.014057326,0.202239025,0.017255729,0.568590107
Northern Area in Haidian district,86.69,0.1484107,0.008908277,0.181135835,0.214329913,0.564074475,0.552404764,0.531063235,0,0,0,0,0,0.635751809,0.393319424,0,0,0.001359104,0.002943357,0,3.53678E-07,6.3662E-05,2.82942E-05,1.78254E-05,6.8472E-05,6.2707E-05,0.00011171,0.000927846,0.218497002,0.016733519,0.562825012
Botanical Garden,79.97,0.0985395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1831E-05,1.76839E-05,4.58366E-05,2.54648E-05,2.73747E-05,0.000395473,0.002575728,0.210180703,0.017278202,0.564858322
Fengtai Garden,82.29,0.1314809,0,0.019043792,0.479039435,0.059059736,0.191619304,0.161464389,0.028758574,0,0,0.082128955,0.134172852,0.520946764,0.549557945,0,0,0,0.000410341,0,1.52081E-06,0.00289662,0.007795055,0.008050694,0.00716749,0.006794325,0.004372548,0.008772742,0.207698702,0.017273645,0.566758347
